type,M,K,N,time
0,10000,1,10000,131
1,10000,1,10000,73
2,10000,1,10000,2937
0,100000,1,10000,53
1,100000,1,10000,76
2,100000,1,10000,27222
0,1000000,1,10000,100
1,1000000,1,10000,108
2,1000000,1,10000,279707
0,10000,3,10000,34
1,10000,3,10000,39
2,10000,3,10000,8061
0,100000,3,10000,44
1,100000,3,10000,71
2,100000,3,10000,81198
0,1000000,3,10000,87
1,1000000,3,10000,128
2,1000000,3,10000,836104
0,10000,5,10000,45
1,10000,5,10000,49
2,10000,5,10000,13426
0,100000,5,10000,49
1,100000,5,10000,75
2,100000,5,10000,134751
0,1000000,5,10000,92
1,1000000,5,10000,143
2,1000000,5,10000,1607724
